Stock,Species,Areas,AreaType,StockDescription
agn.27.nea,AGN,27.9.a.n,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.9.a.s,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.9.a.c.n,IC_AreaUnit,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.9.a.c.s,IC_AreaUnit,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.8.c.w,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.8.c.e,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.a.20,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.4.b.e,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.4.b.w,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.d.28.1,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.3.d.28.2,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.9.a.s.a,IC_AreaUnit,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.9.a.s.c,IC_AreaUnit,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.12.b,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.1.b,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.2.a.1,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.2.a.2,IC_Sub-divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
agn.27.nea,AGN,27.12.c,IC_Divisions,Angel shark (Squatina squatina) in Subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)
