AphiaId,AphiaId_Desc,ICES_Vocab_CodeType_Worms_AphiaId,ASFIS_Code,ASFIS_Code_Desc,ICES_Vocab_CodeType_FAO_ASFIS
126298,Enchelycore anatina,SpecWoRMS,AWM,Enchelycore anatina,SpecASFIS
712789,Artedidraco lonnbergi,SpecWoRMS,AWN,Neodraco lonnbergi,SpecASFIS
126714,Xenodermichthys copei,SpecWoRMS,AXC,Xenodermichthys copei,SpecASFIS
272211,Sargocentron hastatum,SpecWoRMS,AXH,Sargocentron hastatum,SpecASFIS
282702,Sciades proops,SpecWoRMS,AXP,Sciades proops,SpecASFIS
106807,Aristeus,SpecWoRMS,AXR,Aristeus spp,SpecASFIS
277496,Asterropteryx ensifera,SpecWoRMS,AXS,Asterropteryx ensifera,SpecASFIS
22805,Stylasteridae,SpecWoRMS,AXT,Stylasteridae,SpecASFIS
125636,Gymnothorax,SpecWoRMS,AXZ,Gymnothorax spp,SpecASFIS
212549,Anyperodon leucogrammicus,SpecWoRMS,AYG,Anyperodon leucogrammicus,SpecASFIS
125348,Acanthogorgia armata,SpecWoRMS,AZC,Acanthogorgia armata,SpecASFIS
126330,Ijimaia loppei,SpecWoRMS,AZI,Ijimaia loppei,SpecASFIS
212049,Sphyraena qenie,SpecWoRMS,BAB,Sphyraena qenie,SpecASFIS
212045,Sphyraena jello,SpecWoRMS,BAC,Sphyraena jello,SpecASFIS
136979,Balaenopteridae,SpecWoRMS,BAE,Balaenopteridae,SpecASFIS
368409,Batoidea,SpecWoRMS,BAI,Batoidea or Batoidimorpha (Hypotremata),SpecASFIS
281275,Lateolabrax japonicus,SpecWoRMS,BAJ,Lateolabrax japonicus,SpecASFIS
126084,Sphyraena,SpecWoRMS,BAR,Sphyraena spp,SpecASFIS
126070,Serranus,SpecWoRMS,BAS,Serranus spp,SpecASFIS
273809,Sarda australis,SpecWoRMS,BAU,Sarda australis,SpecASFIS
242606,Berardius arnuxii,SpecWoRMS,BAW,Berardius arnuxii,SpecASFIS
125565,Sphyraenidae,SpecWoRMS,BAZ,Sphyraenidae,SpecASFIS
279881,Batrachomoeus occidentalis,SpecWoRMS,BBD,Batrachomoeus occidentalis,SpecASFIS
