OBJECTID,ID,ICESNAME,SOUTH,WEST,NORTH,EAST,AREA_KM2,stat_x,stat_y,Area_27,Perc,MaxPer,RNDMaxPer,AreasList,Shape_Leng,Shape_Area
7227,4635.00000000000,29F3,50.00000000000,3.00000000000,50.50000000000,4.00000000000,3967,3.50000000000,50.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7228,4636.00000000000,30F3,50.50000000000,3.00000000000,51.00000000000,4.00000000000,3925,3.50000000000,50.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7229,4705.00000000000,01F4,36.00000000000,4.00000000000,36.50000000000,5.00000000000,4987,4.50000000000,36.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7230,4706.00000000000,02F4,36.50000000000,4.00000000000,37.00000000000,5.00000000000,4955,4.50000000000,36.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7231,4707.00000000000,03F4,37.00000000000,4.00000000000,37.50000000000,5.00000000000,4923,4.50000000000,37.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7232,4708.00000000000,04F4,37.50000000000,4.00000000000,38.00000000000,5.00000000000,4891,4.50000000000,37.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7233,4709.00000000000,05F4,38.00000000000,4.00000000000,38.50000000000,5.00000000000,4858,4.50000000000,38.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7234,4710.00000000000,06F4,38.50000000000,4.00000000000,39.00000000000,5.00000000000,4825,4.50000000000,38.75000000000,,,0.00000000000,0,,3.00000000120,0.50000000070
7235,4711.00000000000,07F4,39.00000000000,4.00000000000,39.50000000000,5.00000000000,4792,4.50000000000,39.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7236,4712.00000000000,08F4,39.50000000000,4.00000000000,40.00000000000,5.00000000000,4758,4.50000000000,39.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7237,4713.00000000000,09F4,40.00000000000,4.00000000000,40.50000000000,5.00000000000,4724,4.50000000000,40.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7238,4714.00000000000,10F4,40.50000000000,4.00000000000,41.00000000000,5.00000000000,4689,4.50000000000,40.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7239,4715.00000000000,11F4,41.00000000000,4.00000000000,41.50000000000,5.00000000000,4654,4.50000000000,41.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7240,4716.00000000000,12F4,41.50000000000,4.00000000000,42.00000000000,5.00000000000,4619,4.50000000000,41.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7241,4717.00000000000,13F4,42.00000000000,4.00000000000,42.50000000000,5.00000000000,4583,4.50000000000,42.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7242,4718.00000000000,14F4,42.50000000000,4.00000000000,43.00000000000,5.00000000000,4547,4.50000000000,42.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7243,4719.00000000000,15F4,43.00000000000,4.00000000000,43.50000000000,5.00000000000,4511,4.50000000000,43.25000000000,,,0.00000000000,0,,3.00000000120,0.50000000070
7244,4720.00000000000,16F4,43.50000000000,4.00000000000,44.00000000000,5.00000000000,4474,4.50000000000,43.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7245,4721.00000000000,17F4,44.00000000000,4.00000000000,44.50000000000,5.00000000000,4437,4.50000000000,44.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7246,4722.00000000000,18F4,44.50000000000,4.00000000000,45.00000000000,5.00000000000,4400,4.50000000000,44.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7247,4723.00000000000,19F4,45.00000000000,4.00000000000,45.50000000000,5.00000000000,4362,4.50000000000,45.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7248,4724.00000000000,20F4,45.50000000000,4.00000000000,46.00000000000,5.00000000000,4324,4.50000000000,45.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7249,4725.00000000000,21F4,46.00000000000,4.00000000000,46.50000000000,5.00000000000,4286,4.50000000000,46.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7250,4726.00000000000,22F4,46.50000000000,4.00000000000,47.00000000000,5.00000000000,4247,4.50000000000,46.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7251,4727.00000000000,23F4,47.00000000000,4.00000000000,47.50000000000,5.00000000000,4208,4.50000000000,47.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7252,4728.00000000000,24F4,47.50000000000,4.00000000000,48.00000000000,5.00000000000,4169,4.50000000000,47.75000000000,,,0.00000000000,0,,3.00000000120,0.50000000070
7253,4729.00000000000,25F4,48.00000000000,4.00000000000,48.50000000000,5.00000000000,4129,4.50000000000,48.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7254,4730.00000000000,26F4,48.50000000000,4.00000000000,49.00000000000,5.00000000000,4089,4.50000000000,48.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7255,4731.00000000000,27F4,49.00000000000,4.00000000000,49.50000000000,5.00000000000,4048,4.50000000000,49.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7256,4732.00000000000,28F4,49.50000000000,4.00000000000,50.00000000000,5.00000000000,4008,4.50000000000,49.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7257,4733.00000000000,29F4,50.00000000000,4.00000000000,50.50000000000,5.00000000000,3967,4.50000000000,50.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7258,4734.00000000000,30F4,50.50000000000,4.00000000000,51.00000000000,5.00000000000,3925,4.50000000000,50.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7259,4803.00000000000,01F5,36.00000000000,5.00000000000,36.50000000000,6.00000000000,4987,5.50000000000,36.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7260,4804.00000000000,02F5,36.50000000000,5.00000000000,37.00000000000,6.00000000000,4955,5.50000000000,36.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7261,4805.00000000000,03F5,37.00000000000,5.00000000000,37.50000000000,6.00000000000,4923,5.50000000000,37.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7262,4806.00000000000,04F5,37.50000000000,5.00000000000,38.00000000000,6.00000000000,4891,5.50000000000,37.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7263,4807.00000000000,05F5,38.00000000000,5.00000000000,38.50000000000,6.00000000000,4858,5.50000000000,38.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7264,4808.00000000000,06F5,38.50000000000,5.00000000000,39.00000000000,6.00000000000,4825,5.50000000000,38.75000000000,,,0.00000000000,0,,3.00000000120,0.50000000070
