"Area_27","ICESNAME","Area"
"14.a","68C7","27.14.a"
"14.a","69C7","27.14.a"
"14.a","70C7","27.14.a"
"14.a","71C7","27.14.a"
"14.a","72C7","27.14.a"
"14.a","73C7","27.14.a"
"14.a","74C7","27.14.a"
"14.a","75C7","27.14.a"
"14.a","76C7","27.14.a"
"14.a","77C7","27.14.a"
"14.a","78C7","27.14.a"
"14.a","79C7","27.14.a"
"14.a","80C7","27.14.a"
"14.a","81C7","27.14.a"
"14.a","82C7","27.14.a"
"14.a","90C7","27.14.a"
"14.a","91C7","27.14.a"
"14.a","92C7","27.14.a"
"14.a","93C7","27.14.a"
"14.a","94C7","27.14.a"
"14.a","95C7","27.14.a"
"14.a","96C7","27.14.a"
"14.a","97C7","27.14.a"
"14.a","98C7","27.14.a"
"10.a.2","02C8","27.10.a.2"
"10.a.2","03C8","27.10.a.2"
"10.a.2","04C8","27.10.a.2"
"10.a.1","10C8","27.10.a.1"
"10.a.1","11C8","27.10.a.1"
"10.a.1","12C8","27.10.a.1"
"10.a.1","13C8","27.10.a.1"
"10.a.1","14C8","27.10.a.1"
"10.b","15C8","27.10.b"
"10.b","16C8","27.10.b"
"10.b","17C8","27.10.b"
"10.b","18C8","27.10.b"
"10.b","19C8","27.10.b"
"10.b","20C8","27.10.b"
"10.b","21C8","27.10.b"
"10.b","22C8","27.10.b"
"10.b","23C8","27.10.b"
"10.b","24C8","27.10.b"
"12.c","25C8","27.12.c"
"12.c","26C8","27.12.c"
"12.c","27C8","27.12.c"
"12.c","28C8","27.12.c"
"12.c","29C8","27.12.c"
"12.c","30C8","27.12.c"
"12.c","31C8","27.12.c"
"12.c","32C8","27.12.c"
"12.c","33C8","27.12.c"
"12.a.1","34C8","27.12.a.1"
"12.a.1","35C8","27.12.a.1"
"12.a.1","36C8","27.12.a.1"
"12.a.1","37C8","27.12.a.1"
"12.b","38C8","27.12.b"
"12.b","39C8","27.12.b"
"12.b","40C8","27.12.b"
"12.b","41C8","27.12.b"
"12.b","42C8","27.12.b"
"12.b","43C8","27.12.b"
"12.b","44C8","27.12.b"
"12.b","45C8","27.12.b"
"12.b","46C8","27.12.b"
"12.b","47C8","27.12.b"
"12.b","48C8","27.12.b"
"12.a.4","50C8","27.12.a.4"
"12.a.4","51C8","27.12.a.4"
"12.a.4","52C8","27.12.a.4"
"5.a.2","53C8","27.5.a.2"
"5.a.2","54C8","27.5.a.2"
"5.a.2","55C8","27.5.a.2"
"5.a.2","56C8","27.5.a.2"
"5.a.2","57C8","27.5.a.2"
"5.a.2","58C8","27.5.a.2"
"5.a.2","59C8","27.5.a.2"
"5.a.2","60C8","27.5.a.2"
"5.a.2","61C8","27.5.a.2"
"5.a.2","62C8","27.5.a.2"
"5.a.2","63C8","27.5.a.2"
"5.a.2","64C8","27.5.a.2"
"14.a","65C8","27.14.a"
"14.a","66C8","27.14.a"
"14.a","67C8","27.14.a"
"14.a","68C8","27.14.a"
"14.a","69C8","27.14.a"
"14.a","70C8","27.14.a"
"14.a","71C8","27.14.a"
"14.a","72C8","27.14.a"
"14.a","73C8","27.14.a"
"14.a","74C8","27.14.a"
"14.a","75C8","27.14.a"
"14.a","76C8","27.14.a"
"14.a","77C8","27.14.a"
"14.a","78C8","27.14.a"
"14.a","79C8","27.14.a"
"14.a","80C8","27.14.a"
"14.a","81C8","27.14.a"
"14.a","82C8","27.14.a"
"14.a","84C8","27.14.a"
"14.a","85C8","27.14.a"
"14.a","86C8","27.14.a"
"14.a","91C8","27.14.a"
"14.a","92C8","27.14.a"
"14.a","93C8","27.14.a"
"14.a","94C8","27.14.a"
"14.a","95C8","27.14.a"
"14.a","96C8","27.14.a"
"14.a","97C8","27.14.a"
"14.a","98C8","27.14.a"
"10.a.1","06C9","27.10.a.1"
"10.a.1","07C9","27.10.a.1"
"10.a.1","08C9","27.10.a.1"
"10.a.1","09C9","27.10.a.1"
"10.a.1","10C9","27.10.a.1"
"10.a.1","11C9","27.10.a.1"
"10.a.1","12C9","27.10.a.1"
"10.a.1","13C9","27.10.a.1"
"10.a.1","14C9","27.10.a.1"
"10.b","15C9","27.10.b"
"10.b","16C9","27.10.b"
"10.b","17C9","27.10.b"
"10.b","18C9","27.10.b"
"10.b","19C9","27.10.b"
"10.b","20C9","27.10.b"
"10.b","21C9","27.10.b"
"10.b","22C9","27.10.b"
"10.b","23C9","27.10.b"
"10.b","24C9","27.10.b"
"12.c","25C9","27.12.c"
"12.c","26C9","27.12.c"
"12.c","27C9","27.12.c"
"12.c","28C9","27.12.c"
"12.c","29C9","27.12.c"
"12.c","30C9","27.12.c"
"12.c","31C9","27.12.c"
"12.c","32C9","27.12.c"
"12.c","33C9","27.12.c"
"12.a.1","34C9","27.12.a.1"
"12.a.1","35C9","27.12.a.1"
"12.a.1","36C9","27.12.a.1"
"12.a.1","37C9","27.12.a.1"
"12.b","38C9","27.12.b"
"12.b","39C9","27.12.b"
"12.b","40C9","27.12.b"
"12.b","41C9","27.12.b"
"12.b","42C9","27.12.b"
"12.b","43C9","27.12.b"
"12.b","44C9","27.12.b"
"12.b","45C9","27.12.b"
"12.b","46C9","27.12.b"
"12.b","47C9","27.12.b"
"12.b","48C9","27.12.b"
"12.a.4","50C9","27.12.a.4"
"12.a.4","51C9","27.12.a.4"
"12.a.4","52C9","27.12.a.4"
"5.a.2","53C9","27.5.a.2"
"5.a.2","54C9","27.5.a.2"
"5.a.2","55C9","27.5.a.2"
"5.a.2","56C9","27.5.a.2"
"5.a.2","57C9","27.5.a.2"
"5.a.2","59C9","27.5.a.2"
"5.a.2","60C9","27.5.a.2"
"5.a.2","61C9","27.5.a.2"
"5.a.2","62C9","27.5.a.2"
"5.a.2","63C9","27.5.a.2"
"5.a.2","64C9","27.5.a.2"
"14.a","65C9","27.14.a"
"14.a","66C9","27.14.a"
"14.a","67C9","27.14.a"
"14.a","68C9","27.14.a"
"14.a","69C9","27.14.a"
"14.a","70C9","27.14.a"
"14.a","71C9","27.14.a"
"14.a","72C9","27.14.a"
"14.a","73C9","27.14.a"
"14.a","74C9","27.14.a"
"14.a","75C9","27.14.a"
"14.a","76C9","27.14.a"
"14.a","77C9","27.14.a"
"14.a","78C9","27.14.a"
"14.a","79C9","27.14.a"
"14.a","80C9","27.14.a"
"14.a","81C9","27.14.a"
"14.a","82C9","27.14.a"
"14.a","83C9","27.14.a"
"14.a","84C9","27.14.a"
